Iucundus iii; Wetteraulimes;1
Iulia- Tem- (Iulius Atem-/ Iulianus i- Tem-); Wetteraulimes;1
Iullinus i; Wetteraulimes;2
Iustus i; Wetteraulimes;1
Ivenalis; Wetteraulimes;1
L. Cosius; Wetteraulimes;1
L. Cosius Virilis; Wetteraulimes;26
L. Fabu-; Wetteraulimes;1
L. Iulius Senex; Wetteraulimes;1
L. Ter- Secundus; Wetteraulimes;4
L. Tr- Masculus; Wetteraulimes;3
Lic- Seve- (Licinius Severus)?; Wetteraulimes;4
M. Iulius Seve- (M. Iu- Seve-); Wetteraulimes;1
Ma- ii; Wetteraulimes;2
Macer i; Wetteraulimes;1
Marianus i; Wetteraulimes;1
Marinus i; Wetteraulimes;1
Masclinus; Wetteraulimes;1
Masclus i (Masculus); Wetteraulimes;1
Maternus ii (Mater-)?; Wetteraulimes;2
Memor; Wetteraulimes;2
Mercator i (Mercatoris)?; Wetteraulimes;3
Mommo; Wetteraulimes;3
Mona-; Wetteraulimes;1
Murranus i; Wetteraulimes;1
Natalis i; Wetteraulimes;1
Nertus i; Wetteraulimes;1
Ocel- (Oces-)?; Wetteraulimes;1
Pas-; Wetteraulimes;1
Passenus (Passienus); Wetteraulimes;2
Patricius i; Wetteraulimes;7
Paullus iii; Wetteraulimes;1
Polio ii (Pollio); Wetteraulimes;1
Pontus (Pontius)?; Wetteraulimes;2
Primulus i; Wetteraulimes;1
Primus iii; Wetteraulimes;1
Pugnus i; Wetteraulimes;1
Rufus iii; Wetteraulimes;1
Sarrutus; Wetteraulimes;1
Secundinus i; Wetteraulimes;2
Secundus ii; Wetteraulimes;2
Severus iii; Wetteraulimes;13
Sextius Can- (Sex- Can-); Wetteraulimes;8
Sextus i; Wetteraulimes;1
Silanus; Wetteraulimes;1
Silvinus ii; Wetteraulimes;2
Sulpicius; Wetteraulimes;6
Tabius Virtus (Tabus-Virtus or Tabus-Virutis)?; Wetteraulimes;4
Vebr-; Wetteraulimes;1
Verecundus ii; Wetteraulimes;1
Virilis ii; Wetteraulimes;10
Vitalis ii; Wetteraulimes;22
Vitalis ii-P-; Wetteraulimes;2
Bassus ii; ÖstlicherWetterauLimes;1
Bassus iii; ÖstlicherWetterauLimes;1
Celsus ii; ÖstlicherWetterauLimes;1
Censor i; ÖstlicherWetterauLimes;1
Cl- Gemma (Claudius Gemma)?; ÖstlicherWetterauLimes;1
Crestus i; ÖstlicherWetterauLimes;1
Crispus iii; ÖstlicherWetterauLimes;2
Flavius Germanus (L. Flavius Germanus); ÖstlicherWetterauLimes;3
Flavius Sabinus; ÖstlicherWetterauLimes;1
Fuscus i or ii; ÖstlicherWetterauLimes;1
Fuscus ii; ÖstlicherWetterauLimes;2
Germanus i; ÖstlicherWetterauLimes;1
